Title,Year,Cited by,Link,Affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Source
"A discrete event simulation based approach for digital twin implementation",2021,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120668464&doi=10.1016%2fj.ifacol.2021.08.164&partnerID=40&md5=51d2d5ae04f9df523df3d405e0c484fc","Comau S.p.A., Via Rivalta 30, Grugliasco (TO), Italy; Department of Management and Production Engineering, Politecnico di Torino, Corso Duca degli Abruzzi 24, Torino, Italy","Nowadays, manufacturing companies need to improve their production monitoring and prediction to be more flexible and re-configurable. To do so, the digitization of the manufacturing environment is a very critical issue. This paper proposes an approach to develop digital twins in this environment. Digital twins are virtual systems, real time connected with their physical counterpart, which replicate exactly their behaviour. Discrete event simulation models, connected in real-time with their real system counterparts, are developed in this work. Two industrial use cases are analysed, to show the benefits that this promising technology can bring to the manufacturing industry. © 2021 The Authors. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0)","Capacity and Performance Evaluation; Discrete-event Simulation; Real-time Control","Discrete event simulation; Manufacture; Capacity and performance evaluation; Digitisation; Discrete-event simulations; Manufacturing companies; Manufacturing environments; Performances evaluation; Production monitoring; Production prediction; Real-time control; Simulation based approaches; Real time control",Conference Paper,Scopus
"Constructing digital twins for accurate and reliable what-if business process analysis",2021,1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114682040&partnerID=40&md5=8e8c9313d3a19790d2a903c04b641d24","University of Tartu, Tartu, Estonia","A long-standing problem in the field of Business Process Management (BPM) is that of constructing accurate and reliable models for \what-if"" business process analysis (digital process twins). This paper formulates this problem in a general setting and spells out associated challenges. The paper suggests that this problem can be addressed by combining observational data, experimental data, and domain knowledge using hybrid modeling methods drawing from the fields of discrete event simulation, machine learning, and causal inference. © 2021 CEUR-WS. All rights reserved.",,"Digital twin; Enterprise resource management; Business process analysis; Business process management; Causal inferences; Digital process; Domain knowledge; Hybrid modeling methods; Observational data; Standing problems; Discrete event simulation",Conference Paper,Scopus
"Mixed discrete-continuous simulation for digital Twins",2021,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111717088&doi=10.5220%2f0010580804220429&partnerID=40&md5=818e9f3c1d8470abe42ee65d2595ec47","Indian Institute of Technology Goa, India; Department of Computational and Data Sciences, Indian Institute of Science, Bangalore, India","The advent of Digital Twins has precipitated the need for an open and flexible simulation framework with unique design considerations. A key requirement of such a framework is the ability to simulate systems containing a mix of discrete and continuous processes that may interact with each other. In this paper, we propose a framework for mixed discrete-continuous simulations particularly targeted for Digital Twin applications. The framework is based on SimPy, a popular discrete-event simulation library in Python. We first present a systematic approach by which continuous process simulations can be integrated within the event-stepped engine of SimPy. We illustrate the approach using an example. We then discuss the features of the proposed framework and the roadmap for its implementation. Copyright © 2021 by SCITEPRESS – Science and Technology Publications, Lda. All rights reserved.","Digital Twins; Mixed Discrete-Continuous Simulation; Python; SimPy","Computer software; Discrete event simulation; Continuous process; Design considerations; Discrete-continuous simulation; Flexible simulation; Roadmap; Digital twin",Conference Paper,Scopus
"How to model and implement connections between physical and virtual models for digital twin application",2021,51,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085651159&doi=10.1016%2fj.jmsy.2020.05.012&partnerID=40&md5=07a33656f379f28a830f4cf467b90443","Institute of Advanced Design and Manufacturing, Southwest Jiaotong University, Chengdu, 610031, China; School of Design, Northumbria University, Newcastle upon Tyne, NE1 8ST, United Kingdom","Digital twin (DT) is a virtual mirror (representation) of a physical world or a system along its lifecycle. As for a complex discrete manufacturing system (DMS), it is a digital model for emulating or reproducing the functions or actions of a real manufacturing system by giving the system simulation information or directly driven by a real system with proper connections between the DT model and the real-world system. It is a key building block for smart factory and manufacturing under the Industry 4.0 paradigm. The key research question is how to effectively create a DT model during the design stage of a complex manufacturing system and to make it usable throughout the system's lifecycle such as the production stage. Given that there are some existing discussions on DT framework development, this paper focuses on the modeling methods for rapidly creating a virtual model and the connection implementation mechanism between a physical world production system at a workshop level and its mirrored virtual model. To reach above goals, in this paper, the discrete event system (DES) modeling theory is applied to the three-dimension DT model. First, for formally representing a manufacturing system and creating its virtual model, seven basic elements: controller, executor, processor, buffer, flowing entity, virtual service node and logistics path of a DMS have been identified and the concept of the logistics path network and the service cell is introduced to uniformly describe a manufacturing system. Second, for implementing interconnection and interaction, a new interconnection and data interaction mechanism between the physical system and its virtual model for through-life applications has been designed. With them, each service cell consists of seven elements and encapsulates input/output information and control logic. All the discrete cells are constructed and mapped onto different production-process-oriented digital manufacturing modules by integrating logical, geometric and data models. As a result, the virtual-physical connection is realized to form a DT model. The proposed virtual modeling method and the associated connection mechanism have been applied to a real-world workshop DT to demonstrate its practicality and usefulness. © 2020 The Society of Manufacturing Engineers","Cyber-physical system; Digital twin; Discrete event system modeling theory; Virtual-physical connection","Complex networks; Digital twin; Industrial research; Life cycle; Manufacture; Complex manufacturing systems; Digital manufacturing; Discrete manufacturing systems; Framework development; Implementation mechanisms; Physical connections; Research questions; System simulations; Discrete event simulation",Article,Scopus
"A decision support tool for operational planning: a Digital Twin using simulation and forecasting methods",2020,7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101094714&doi=10.1590%2f0103-6513.20200018&partnerID=40&md5=812bf65095976460e48d21b3a67e1895","Universidade Federal de Itajubá, ItajubáMG, Brazil","Paper aims: Propose a continuous decision support system, a Digital Twin, integrating two widely used techniques, Discrete Event Simulation and forecasting methods. Originality: With the evolution of the industry, there is a growing need for increasingly agile and assertive decision support systems. Also, familiar tools and techniques tend to change over time to suit such a scenario, supporting new researches on their use in the modern industry. Research method: The proposed method allows the use of simulation, with the aid of forecasting methods, for continuous decision making, composing the so-called Digital Twin. The method was applied in a real process to validate it. Main findings: The Moving Average, Single Exponential Smoothing, and Double Exponential Smoothing forecasting methods were used to supply the simulation model in order to test scenarios and guide decision making. The developed system enabled a virtual copy with a certain degree of intelligence and that provides answers to make the constant decision-making process more efficient. Implications for theory and practice: The proposed method can be used for several operational problems like headcount, production planning and covers different levels of decision. Therefore, it can be used both on the shop floor and at managerial levels. © 2020. All Rights Reserved.","Decision support system; Digital Twin; Discrete Event Simulation; Forecasting methods; Operational planning",,Article,Scopus
"Discrete event simulation and digital twins: Review and challenges for logistics",2020,19,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099819139&doi=10.1016%2fj.promfg.2020.10.228&partnerID=40&md5=b3f96232e03874c916ea45724b4e8a8e","School of Mechanical Engineering, National Technical University Athens, Athens, Greece; Trade Logistics S.A., Athens, Greece","In the Logistics 4.0 era, the demand for anticipating asset behaviour and make decisions in an almost real time fashion has led to the evolution of DES into an integral part of what is currently known as the Digital Twins (DTs). A Discrete Event Simulation software is assuming the role of the cyber twin, executing simulation software queries on real time data produced by IoT devices embedded on the physical twin, i.e. the automation, which are then processed, updating the simulation to the next system state. In that way, DTs facilitate the convergence of the physical and virtual warehouse, thus supporting efficient and responsive warehouse planning, management and decision making. This paper explores the current literature on the integration of DES and DTs and identifies trends and challenges for contemporary Logistics. © 2020 The Authors. Published by Elsevier Ltd. This is an open access article under the CC BY-NC-ND license (https://creativecommons.org/licenses/by-nc-nd/4.0/) Peer-review under responsibility of the scientific committee of the FAIM 2021.","Digital Twins; Discrete Event Simulation; Internet of Things; Logistics 4.0; Warehouse Automations; Warehouse Logistics",,Conference Paper,Scopus
"Analyzing the Characteristics of Digital Twin and Discrete Event Simulation in Cyber Physical Systems",2020,5,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090172261&doi=10.1007%2f978-3-030-57997-5_28&partnerID=40&md5=f12e4c749bfe87f0a7f721b058560bf9","KTH Royal Institute of Technology, Södertälje, 15136, Sweden; Sungkyunkwan University, Suwon, 16419, South Korea","Digital Twins (DTs) are described as the next wave in simulation, a critical component of Cyber Physical Systems (CPS), and a key enabler for da-ta-driven decision-making. Yet, the literature presents limited understanding about the characteristics of DTs and their relation to current simulation capabilities. Addressing this problem, the purpose of this study is to analyze the characteristics of DTs and simulation models for CPS in production logistics. This study reviews extant literature on DTs and presents findings from a single case study at a South Korean manufacturing company developing a DT including Discrete Event Simulation (DES). The findings of this study highlight the importance of DES in DTs focusing on increased production logistics performance. The results of this study indicate that the use of DES may promote the development of DTs, but be insufficient in the characterization of DTs for CPS in production logistics. © 2020, IFIP International Federation for Information Processing.","Digital Twins; Discrete Event Simulation; Production logistics","Cyber Physical System; Decision making; Discrete event simulation; Embedded systems; Industrial management; Manufacture; Critical component; Current simulation; Cyber-physical systems (CPS); Manufacturing companies; Production logistics; Digital twin",Conference Paper,Scopus
"Using RFID technology and discrete-events, agent-based simulation tools to build digital-twins of large warehouses",2019,3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075720358&doi=10.1109%2fRFID-TA.2019.8892254&partnerID=40&md5=3df441cb3ab641f8b73697adeb780e0d","Università di Pisa, Dept. of Civil and Industrial Engineering, Pisa, Italy; Università di Pisa, Dept. of Information Engineering, Pisa, Italy","The present work presents a modular, object-oriented and agent-based simulation model of a large warehouse for paper products. It integrates the well-known Ultra High Frequency Radio Frequency Identification (UHF RFID) technology to transform a simulation model into an interactive digital twin that receives data from the sensors and optimises routes and space allocation while trying to reduce the travelled distance, the handling and the potential congestion within the aisles. The system performs experiments and provides the operators with the optimised routes for the next 30 minutes, allowing to improve the management of the system. © 2019 IEEE.","Agent Based Simulation; Digital Twins; Industry 4.0; RFID Technology","Digital radio; Industry 4.0; Warehouses; Agent based simulation; Agent-based simulation models; Digital Twins; Discrete events; RFID Technology; Simulation model; Space allocation; Ultrahigh-frequency radio-frequency identification (UHF RFID); Radio frequency identification (RFID); Distance; Distribution; Experimentation; Frequency; Radio; Simulation; Systems; Technology",Conference Paper,Scopus
"A state of the art of digital twin and simulation supported by data mining in the healthcare sector",2019,1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082074463&doi=10.3233%2fFAIA190084&partnerID=40&md5=13c1414887ef48121b78bd133d353d04","E.O. Galliera Hospital, General Directorate, Mura delle Cappuccine 14, Genoa, Italy; Department of Mechanical Engineering, Energy, Management and Transports (D.I.M.E.), University of Genoa, Italy","Healthcare and more precisely private hospitals are critical and complex environments where making appropriate decisions is vital. For this reason, they are widely studied in many fields. This paper aims to provide the current state of the art of Digital Twin and/or Simulation involved in Decision Support System (DSS) whose data are processed through Data Mining techniques applied in the healthcare sector. In this view, the authors' research has been based on the following keywords: Healthcare, Hospital, Digital Twin, Simulation, Data Mining and Decision Support System. Doing so, it has been possible to gather 13 papers which have been carefully studied. © 2019 The authors and IOS Press. All rights reserved.","Agent based modeling; Big data; Data mining; Decision support system; Digital twin; Discrete event; Healthcare; Hospital; Industry 4.0; Internet of Things; Simulation","Artificial intelligence; Autonomous agents; Big data; Computational methods; Decision support systems; Digital twin; Discrete event simulation; Health care; Hospitals; Industry 4.0; Internet of things; Agent-based model; Complex environments; Decision support system (dss); Discrete events; Healthcare sectors; Private hospitals; Simulation; State of the art; Data mining",Conference Paper,Scopus
"Digital twin for factory system simulation",2019,12,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068437190&partnerID=40&md5=b2d8910f967f41876a2a5700c0a24620","Department of Mechanical Engineering, Vels Institute of Science, Technology & Advanced Studies, Chennai, India","In the early days, building a manufacturing facility requires a lot of people to work at that facility. With the advent of CAD/CAE/CAM Softwares and high power computers, facility layout can be planned and engineered from a remote location. Manufacturing facilities undergo a lot of changes due to change in customer requirements, government regulations, safety standards, the complexity of products and process improvisation. It becomes indispensable to keep manufacturing facility digitally updated for upfront simulations and to capture facility change requirements caused by product variations. In the current methodology, it takes a significant amount of time and cost to keep manufacturing facility digitally updated. Digital Twin is an emerging technology that nowadays almost all consumer goods, airplanes, manufacturing plants, oil refineries, transportation networks, and even entire cities are having the potential to have Digital Twin of its own. This paper suggesting a methodology to apply Digital Twin to a manufacturing facility for keeping the model updated and simulated in real time. Real Time Location Sensing (RTLS) technology with transmitter tags, receiver nodes, and gateways (IOT) deployed at the facility. Manage transformation matrix for each asset in the Digital manufacturing facility at PLM/CAD software. The Discrete Event Simulation tool is integrated into PLM to run model directly from PLM in real time. Tags attached to each physical asset sends a signal to the receiver when asset movement or orientation occurs at the physical facility, Tags attached to each asset sends a signal to the receiver. The receiver sends pre-processed information to a gateway which acts as an edge device to process and converts those signals as transformation matric which gets synced to PLM system. Now digital manufacturing facility is up-to-date. Any facility change requirement can do in this digital model and simulated in real time for the quickest decision. The time factor has been compared with this new digital twin methodology and conventional methodology and discussed the results. © BEIESP.","Digital twin; Internet of things; Object linking and embedding; Real-time location sensing; Simulation",,Article,Scopus
"Pervasive Computing Integrated Discrete Event Simulation for a Hospital Digital Twin",2019,6,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061906345&doi=10.1109%2fAICCSA.2018.8612796&partnerID=40&md5=3750874e3646590ed3df510e5f49dd5e","Department of Computer Science, Birzeit University, Birzeit, Palestine, Palestine; Industrial Engineering Department, University of Toulouse, IMT Mines Albi, Route de Teillet, Albi, 81000, France","A hospital is an ecosystem that includes real-time services that require high human interaction on both resources level (doctor, nurses, etc.) and entities level (patients). Designing, planning, improving and controlling this system can be very challenging due to the system complexity governed by several subjective factors that affect the hospital interrelated functions or services. However, continuously changing health care needs that consistently face hospitals require them to keep continuously improving the efficiency of these services as demand increases and as new services are added. This paper proposes a new methodology that uses the concept of Digital Twin (DT) of hospital services based on Discrete Event Simulation (DES) integrated with health care information systems and Internet of things (IoT) devices. It develops a predictive decision support model that employs real-time services data drawn from these systems and devices. This model enables assessing the efficiency of existing health care delivery systems and evaluating the impact of changes in services without disrupting daily activities of the hospital. The developed model, a digital twin (or a virtual replica of the hospital), simulates a number of key hospital health delivery services, based on relevant data retrieved in real-time. Although the model simulates four key services, initially as a proof of concept, but it proposes a general framework, which can be expanded to include other services. The demonstrated proof-of-concept shows that it achieves better planning and improvement of usage of resources, and thus enabling both practitioners and management to examine any model changes to foresee the effectiveness or efficiency of services before they are applied in reality. © 2018 IEEE.","DES; Digital Twin; Hospital Services; IOT; Pervasive Computing","Decision support systems; Digital devices; Digital integrated circuits; Discrete event simulation; Efficiency; Health care; Hospitals; Information services; Internet of things; Medical computing; Ubiquitous computing; Decision support models; Digital Twin; Health care information system; Hospital service; Human interactions; Impact of changes; Internet of Things (IOT); Real time service; Real time systems",Conference Paper,Scopus
"Developing digital twins for production enterprises",2019,7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089471506&doi=10.17323%2f1998-0663.2019.4.7.16&partnerID=40&md5=f8f8af0a093953faae295f7529803a89","Central Economics and Mathematics Institute, Russian Academy of Sciences, 47, Nakhimovsky Prospect, Moscow, 117418, Russian Federation","This article presents a new approach to developing digital twins of production companies with the use of simulation methods. It describes the concept of digital twins as an integrated system that aggregates simulation models, databases and intelligent software modules of the class of genetic optimization algorithms, subsystems of data mining, etc. The article presents examples of simulation models of different production companies, in particular, a typical assembly plant and a typical oil production enterprise. The first company carries out activities to assembly products from individual components with its own individual characteristics. To describe the behavior of such an enterprise, methods of agent and discrete-event modeling are used. The second enterprise produces raw carbohydrate materials at existing fields with individual characteristics. The integrated simulation models thus developed are integrated with a subject-oriented database and optimization modules that facilitate providing a control of the technological and resource characteristics of the respective production enterprises. The development of these models was performed using AnyLogic and Powersim simulation systems that support agent-based modeling and system dynamics methods. We demonstrate here the possibility of creating 'digital twins' for production companies using modern simulation tools. © 2010 Sociedad Mexicana de Psicologia. All rights reserved.","Agent-based modeling; Digital economy; Digital twins; Discrete-event simulation; Production companies; System dynamics",,Article,Scopus
"Industrial IoT integrated with simulation -A digital twin approach to support real-time decision making",2019,6,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079487305&partnerID=40&md5=73b313993562bcdb727ab57b26729ff4","Centre for Enterprise Systems Engineering, INESC TEC, Porto, Portugal; Faculty of Sciences and Technology, Federal University of Goiás, Aparecida de Goiănia, Goiás, Brazil; Industrial and Systems Engineering Department, Federal University of Santa Catarina, Floriano´polis, Brazil; Department of Industrial Engineering and Management, Faculty of Engineering of the University of Porto, Porto, Portugal","The industry faces more and more the challenge of deploying and taking advantage of evidence-based strategic decisions to enhance profit gain. In this research, the possibility of having a fully integrated system composed by a simulator and an IoT platform with the capability of collecting real-time data from the shop floor and returning performance indicators to support decision making is evaluated. The suggested approach involves a Manufacturing Executing System (MES) producing a production schedule, an IoT Platform composed by a message broker and a real-time database, a Simulator including simulation software and a wrapper, and a user application serving as an interface between the user and the IoT Platform and Simulator integrated system. A detailed analysis of the functionalities and integration of the Simulator and the IoT Platform will also be explored. To evaluate the approach, one use case of a production line in the automotive industry is used. The application of the integrated IoT Simulation system permits its validation and consequent future work. © 2019, IEOM Society International.","Discrete event simulation; Manufacturing systems; Real-time decision making and internet of things (IoT)",,Conference Paper,Scopus
"Digital twins in advanced manufacturing current and future",2019,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074364979&partnerID=40&md5=9c59ead74f1a1dc78bdad0d24af07698","Advanced Manufacturing Research Centre, University of Sheffield, Sheffield, United Kingdom","One of the key industrial challenges of today's manufacturing companies is to adopt new technologies to transform their manufacturing processes, to be able to make things in a “smarter” way. One of the promising ways to become smarter is the so-called digitalisation of the manufacturing system in the context of industry 4.0. In which, digital twins play an important role within this digitalisation journey. Since recent years, the Digital Twin has become a synonym for the cyber-part of a cyber-physical system (CPS) (Kunath & Winkler, 2018). It is predicted that companies who invest in digital twin technology will see a 30 percent improvement in cycle times of critical processes (IDC, 2018). The future of digital twin development is foreseen to be able to embed with artificial intelligence (AI) technologies such as genetic algorithm models, machine learning and deep neural networks to accelerate decision-makings processes and support manufactures to improve efficiency and productivity. This paper describes the key elements within the technology architecture of digital twin models and presents on-going digital twinning projects within the Advanced Manufacturing Research Centre (AMRC) including current projects and future research areas. Copyright © 2019 Operational Research Society Limited.","Digital Manufacturing; Digital Twin; Discrete Event Simulation","Decision making; Deep neural networks; Discrete event simulation; Embedded systems; Genetic algorithms; Industrial research; Machine learning; Manufacture; Advanced manufacturing; Artificial intelligence technologies; Cyber-physical systems (CPS); Digital manufacturing; Digital Twin; Industrial challenges; Manufacturing companies; Technology architectures; Engineering education",Conference Paper,Scopus
"Demonstration of an industrial framework for an implementation of a process digital twin",2018,9,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060387090&doi=10.1115%2fIMECE2018-87361&partnerID=40&md5=2b85070ecb0a124349f22707f89b9046","Advanced Manufacturing Research Centre, Sheffield, United Kingdom; University of Sheffield, Sheffield, United Kingdom","Digital twins have received a large amount of exposure around what they can offer to industry generating lots of noise, however there are few demonstrations utilizing published architectural frameworks. This has been addressed by investigating industrial publications and reports on what is the minimum essential requirements to form a digital twin and additional desirable features. From this, a generic industrial architectural framework of a digital twin has been established to utilize real-time information from a physical asset forming a monitoring digital twin. This has been expanded to incorporate a Discrete Event Simulation (DES) to form a process digital twin utilizing structured information about the process. The framework, including the DES extension, has been validated on a reconfigurable fixture utilizing an established process that has been modelled using Siemens Plant Simulation. This result forms the start of a feedback loop presenting additional value transforming a monitoring digital twin into a process digital twin. This provides a solid foundation for discussion within the industrial community about defining the core functionality required for digital twins. Copyright © 2018 ASME",,"Engineering; Industrial engineering; Architectural frameworks; Core functionality; Desirable features; Industrial communities; Physical assets; Plant simulation; Real-time information; Structured information; Discrete event simulation",Conference Paper,Scopus
