papers_name,papers_abstract,papers_year,papers_keywords,papers_type,papers_country,papers_cluster_number,papers_keywords_score
Dynamic scheduling of complex product discrete assembly workshop based on digital twin; [基于数字孪生的复杂产品离散装配车间动态调度],"The discrete assembly workshop of complex products for multi-variety variable batch production is a typical complex manufacturing system. Its operation process presents the characteristics of high complexity, strong dynamics and many uncertain factors. To realize the dynamic scheduling of the discrete assembly workshop of complex products, a digital twin-based dynamic scheduling method for discrete assembly workshops of complex products was proposed, which realized more precise dynamic scheduling through data interaction between physical space and virtual space. A framework and a scheduling problem model for the discrete assembly workshop of complex products based on digital twins were constructed. On this basis, the online prediction of man-hours based on real-time data and neural networks, and the dynamic scheduling of digital twin workshops for discrete assembly of aerospace products were elaborated. The key technology was realized, and finally a complex product discrete assembly shop scheduling system was built. The scheduling process of an aerospace product assembly shop was taken as an example to illustrate the effectiveness and feasibility of the proposed method. © 2021, Editorial Department of CIMS. All right reserved.",2021,Complex networks Digital twin Manufacture Scheduling Aerospace products Complex manufacturing systems Discrete assemblies Dynamic scheduling Dynamic scheduling methods Online prediction Scheduling problem Scheduling process AssemblyComplex product Digital twin Discrete assembly shop-floor Dynamic scheduling Working hours forecast,academic,"Laboratory of Digital Manufacturing, School of Mechanical Engineering, Beijing Institute of Technology, Beijing, 100081, China",72,0.2222222222222222
Real-time workshop digital twin scheduling platform for discrete manufacturing,"Compared with other production methods, multi-variety, small-batch production driven by order become a lot more sensitive to the disturbances of workshop environment, orders, and processing equipment. This makes a great impact on workshop scheduling. Aiming at this problem, this paper designs a real-time workshop digital twin scheduling platform for discrete manufacturing. It improves the flexibility of the intelligent workshop and the response processing speed after dynamic disturbance. The platform can real-time monitor of the physical workshop and track orders, products, equipment and other information. Further, the platform and visualization technology were explored to work together. Then, the true display of changes after production line decision was displayed. It enables managers to carry out production scheduling verification in the virtual workshop, which reduces the repeated changes of physical workshop production scheduling. Finally, the platform was verified in a discrete manufacturing workshop. The scheduling platform based on digital twins helps manager to immersivity develop factory production strategies. The production efficiency was then enhanced. The platform can ensure the effective operation of the manufacturing system.  © Published under licence by IOP Publishing Ltd.",2021,Digital twin Managers Production control Scheduling Discrete manufacturing Dynamic disturbances Processing equipment Production efficiency Production Scheduling Production strategy Small batch production Visualization technologies Manufacture,academic,"Institute of Advanced Manufacturing and Intelligent Technology, Beijing University of Technology, Beijing, 100124, China; Beijing Key Laboratory of Advanced Manufacturing Technology, Beijing University of Technology, Beijing, 100124, China",72,0.375
Utilization Concept for Digital Twins of Production Systems Integration into the Organization and Production Planning Processes; [Nutzungskonzept für Digitale Zwillinge von Produktionssystemen Integration in die Organisation und Prozesse der Produktionsplanung],"Discrete-event simulations have become a common digital planning tool in complex production systems and are increasingly enhanced towards realistic Digital Twins of production systems. The successful long-term use of Digital Twins in production planning requires a systematic integration into the existing organization and planning processes. For this purpose, this article presents and tests a step-by-step procedure that supports the development of User Groups, of a cross-functional interaction cycle, and of user-oriented KPI visualizations.  © 2022 Walter de Gruyter GmbH, Berlin/Boston.",2022,Discrete event simulation Planning Complex production systems Discrete-event simulations Planning process Procedure Production Planning Production system Simulation System integration Systematic integration Utilization concept Production controlDigital Twin Procedure Production Planning Production System Simulation Utilization Concept,academic,"Karlsruher Institut für Technologie (KIT), Wbk Institut für Produktionstechnik, Kaiserstraße 12, Karlsruhe, 76131, Germany",73,0.38235294117647056
Utilization Concept for Digital Twins of Production Systems-Integration into the Organization and Production Planning Processes; [Nutzungskonzept für Digitale Zwillinge von Produktionssystemen: Integration in die Organisation und Prozesse der Produktionsplanung],"Discrete-event simulations have become a common digital planning tool in complex production systems and are increasingly enhanced towards realistic Digital Twins of production systems. The successful long-term use of Digital Twins in production planning requires a systematic integration into the existing organization and planning processes. For this purpose, this article presents and tests a step-by-step procedure that supports the development of User Groups, of a cross-functional interaction cycle, and of user-oriented KPI visualizations. © 2022 Walter de Gruyter GmbH, Berlin/Boston, Germany.",2022,Discrete event simulation Planning Complex production systems Discrete-event simulations Planning process Procedure Production Planning Production system Simulation System integration Systematic integration Utilization concept Production controlDigital Twin Procedure Production Planning Production System Simulation Utilization Concept,academic,"Karlsruher Institut für Technologie (KIT) wbk Institut für Produktionstechnik, Kaiserstraße 12, Karlsruhe, 76131, Germany",73,0.38235294117647056
Multi AGV simulation system of intelligent workshop based on Digital Twin,"In view of the gradual transformation of workshop production mode to multi variety and variable batch production mode, the requirements for workshop logistics system are becoming higher and higher. This paper presents the construction of multi AGV simulation operation system in intelligent workshop based on digital twin, and introduces three key technologies to realize multi AGV simulation operation under the framework of digital twin technology. It includes digital twin modeling and simulation control technology of intelligent workshop, multi AGV path planning technology based on task priority strategy and twin state driven multi AGV simulation operation technology. Through the implementation and application of the system in an aerospace production general assembly workshop, not only the workshop logistics path planning scheme is optimized, but also the specific verification of the workshop multi AGV logistics simulation scheme is realized. At the same time, the consumption of workshop resources is reduced, which provides technical reference for workshop managers.  © 2021 IEEE.",2021,Batch production Gradual transformations Logistics system Multi AGV path planning Multi variables Multi-varieties Production modes Production workshops Simulation operation Simulation systems Motion planningDigital twin Multi AGV path planning Production workshop Simulation operation,academic,"Beijing Institute of Technology, Department of Mechanical Engineering, Beijing, China; Beijing Xing Hang Electromechanical Equipment Co., Ltd, Beijing, China",73,0.21875
Digital Twin for Production Systems: A Literature Perspective,"Digital Twin is one of the keys enabling technologies of the fourth industrial revolution. Alongside with the cyber-physical systems it is expected to widen the perspectives of smart manufacturing development and for production systems in particular. For these systems on-going state monitoring, simulation and prediction of manufacturing operations are crucial to improve the production efficiency and flexibility. Moreover, through the principles of system engineering, Digital Twin establishes interconnection and interoperability between cyber and physical environments allowing humans to act confidently based on accurately analysed data and verified simulation models. In order to design and implement Digital Twin the architecture and main components must be identified. © 2022, The Author(s), under exclusive license to Springer Nature Switzerland AG.",2022,Architecture Cyber-physical system Digital Twin Production system Smart manufacturing,academic,"Institut National des Sciences Appliquées de Lyon, Université de Lyon, Lyon, E4570, France",100,0.3333333333333333
Typology of Manufacturing Digital Twins: A First Step Towards a Deployment Methodology,"The digital twin is not only a recent technology but also a polymorphic concept which generates a profusion of publications without real coherence because they relate to very different realities including various definitions, shapes, models and applications. If a wide variety of architectures are proposed, there is a significant lack of information on how to deploy a digital twin efficiently and how to define an appropriate architecture. We propose the first step of a complete deployment methodology consisting of a typology that defines the main criteria required to determine not only the digital twin components but also their organization. Based on different recent works that have been synthesized and completed, eleven criteria have been selected as representative of the set of usages and applications proposed in the literature. They will then allow us to propose a generic architecture that best meets the targeted application. © 2022, The Author(s), under exclusive license to Springer Nature Switzerland AG.",2022,Agile Manufacturing Deployment methodology Digital Twin Generic architecture Smart Manufacturing System,academic,"Lab-STICC Lorient, University of South Brittany, 17 Bd Flandres Dunkerque, Lorient, 56100, France",100,0.36363636363636365
Development of an industrial cyber-physical platform for small series production using digital twins,"The article describes an industrial cyber-physical platform for small series production using digital twins under development at ITMO University (Saint Petersburg, Russia). The platform is based on the following approaches: group technology, adaptive and selective assembling, and digital twin of production systems and processes. The article presents a mechanism for constructing a unified manufacturing process, and results of an integrated multiscale simulation of an injection moulding process. The issues of ensuring identification and monitoring of objects of the industrial cyber-physical platform are considered. Specific service applications required to implement the smart product concept are discussed. The combination of the considered technologies is used to create digital twins of production system objects. All humans that have different roles in the product value stream can interact with the industrial cyber-physical platform at the three levels, receiving support in performing their tasks. This article is part of the theme issue 'Towards symbiotic autonomous systems'. © 2021 The Author(s).",2021,Cyber Physical System Group technology Injection molding Autonomous systems Cyber physicals Manufacturing process Multi-scale simulation Production system Service applications Small series production Smart products adult article digital twin human manufacturing Russian Federation Digital twindigital twin industrial cyber-physical system modelling production system simulation smart product,academic,"Faculty of Control Systems and Robotics, Itmo University, Kronverksky Pr. 49, bldg. A, Saint Petersburg, 197101, Russian Federation; Plm Department, Bee Pitron SP, Ltd., Vilenskiy pereulok 4, Saint Petersburg, 191014, Russian Federation; Faculty of Technology, University of Applied Sciences Emden/Leer, Constantiaplatz 4, Emden, 26723, Germany",100,0.25
Digital Twins for the built environment: learning from conceptual and process models in manufacturing,"The overall aim of this paper is to contribute to a better understanding of the Digital Twin (DT) paradigm in the built environment by drawing inspiration from existing DT research in manufacturing. The DT is a Product Life Management information construct that has migrated to the built environment while research on the subject has grown intensely in recent years. Common to early research phases, DT research in the built environment has developed organically, setting the basis for mature definitions and robust research frameworks. As DT research in manufacturing is the most developed, this paper seeks to advance the understanding of DTs in the built environment by analysing how the DT systems reported in manufacturing literature are structured and how they function. Firstly, this paper presents a thorough review and a comparison of DT, cyber-physical systems (CPS), and building information modelling (BIM). Then, the results of the review and categorisation of DT structural and functional descriptions are presented. Fifty-four academic publications and industry reports were reviewed, and their structural and functional descriptions were analysed in detail. Three types of structural models (i.e. conceptual models, system architectures, and data models) and three types of functional models (process and communication models) were identified. DT maturity models were reviewed as well. From the reviewed descriptions, four categories of DT conceptual models (prototypical, model-based, interface-oriented, and service-based) and six categories of DT process models (DT creation, DT synchronisation, asset monitoring, prognosis and simulation, optimal operations, and optimised design) were defined and its applicability to the AECO assessed. While model-based and service-based models are the most applicable to the built environment, amendments are still required. Prognosis and simulation process models are the most widely applicable for AECO use-cases. The main contribution to knowledge of this study is that it compiles the DT's structural and functional descriptions used in manufacturing and it provides the basis to develop DT conceptual and process models specific to requirements of the built environment sectors. © 2021",2021,Architectural design Digital twin E-learning Embedded systems Engineering education Information theory Manufacture Academic publications Building Information Modelling Communication models Cyber-physical systems (CPS) Product life managements Research frameworks Service-based model System architectures Industrial researchBIM Conceptual Models Cyber-Physical Systems Digital Twin Maturity Models Process Models,academic,"Big Data Enterprise and Artificial Intelligence Laboratory, Faculty of Business and Law, University of West of England (UWE) Bristol, Coldharbour Lane, Bristol, BS16 1QY, United Kingdom",100,0.27906976744186046
A Distributed Digital Twin Architecture for Shop Floor Monitoring Based on Edge-Cloud Collaboration,"Throughout recent years, many 'Smart Factory' concepts have been emerged to escort the current technological progress. Among these concepts, we found the Digital Twin which is a burgeoning technology that attracts great interests from academics and industry. Akin to other technologies, the power of Digital Twin can be strengthened by leveraging other technologies' benefits such as those of cloud computing and edge computing. First, to support the implementation of the Digital Twin for the shop floor monitoring, a conceptual architecture of the Digital Twin based on edge-cloud collaboration is proposed. This architecture is believed to enhance the real-Time capabilities of the Digital Twin while dealing with the abundant amounts of manufacturing data. Moreover, the paper discusses how the microservices architecture can benefit the proposed Digital Twin architecture. On the other hand, in order to provide an underpinning to researchers on the Digital Twin topic, the paper sums up the description and an up-To-date output of the Digital Twin, highlighting four manufacturing application scenarios.  © 2021 IEEE.",2021,Architecture Computer architecture Floors Manufacture Conceptual architecture Edge clouds Manufacturing applications Real time capability Shop floor Technological progress Digital twinDigital Twin Edge-Cloud Computing Microservices Shop Floor Monitoring Smart Manufacturing,academic,"University of Mohamed Vi Polytechnic (UM6P), Green Tech Institute, Benguerir, Morocco",100,0.3793103448275862
"Digital twin-based smart manufacturing cell: Application Case, System Architecture and Implementation","Smart manufacturing is considered to be a universal solution for upgrading manufacturing. Currently, the manufacturing tasks are becoming more personalized and the complexity of the manufacturing environment is increasing. Therefore, the manufacturing system needs to have a high level of learning and cognitive abilities. In order to cope with changes in the manufacturing environment, this paper proposes a system architecture of a smart manufacturing cell, which can intelligently sense, analyze, and make decisions to support autonomous manufacturing. Through the implementation in the experiment, it is verified that the proposed architecture is reasonable.  © Published under licence by IOP Publishing Ltd.",2021,Architecture Computer architecture Digital twin Flexible manufacturing systems Flow control Learning and cognitive Manufacturing environments Manufacturing tasks Proposed architectures Smart manufacturing System architectures Universal solutions Engineering education,academic,"Sino-German School of Postgrad Studies, Tongji University, Shanghai, 200092, China; School of Mechanical Engineering, Tongji University, Shanghai, 200092, China",100,0.2962962962962963
Defining a Digital Twin-based Cyber-Physical Production System for autonomous manufacturing in smart shop floors,"Smart manufacturing is the core idea of the fourth industrial evolution. For a smart manufacturing shop floor, real-time monitoring, simulation and prediction of manufacturing operations are vital to improve the production efficiency and flexibility. In this paper, the Cyber-Physical System (CPS) and Digital Twin technologies are introduced to build the interconnection and interoperability of a physical shop floor and corresponding cybershop floor. A Digital Twin-based Cyber-Physical Production System (DT-CPPS) is further established, and the configuring mechanism, operating mechanism and real-time data-driven operations control of DT-CPPS are discussed in detail. It is expected that DT-CPPS will provide the basis for shop floors to march towards smart manufacturing. © 2019, © 2019 Informa UK Limited, trading as Taylor & Francis Group.",2019,Embedded systems Floors Flow control Interoperability Manufacture Cyber-Physical System (CPS) Digital Twin Industrial evolution Manufacturing operations Operations control Production efficiency Production system Smart manufacturing Cyber Physical Systemautonomous manufacturing Cyber-Physical Production System (CPPS) Digital Twin operations control Smart manufacturing,academic,"Department of Manufacturing Automation, Chang'an University, Xi'an, China; Department of Industrial and Systems Engineering, The Hong Kong Polytechnic University, Kowloon, Hong Kong; State Key Laboratory for Manufacturing Systems Engineering, Xi’an Jiaotong University, Xi’an, China",100,0.23684210526315788
5-dimensional definition for a manufacturing digital twin,"The Digital Twin is a recently developed innovative technology in Industry 4.0. The cyber-physical system (CPS) is a concept closely connected with Industry 4.0 that can form a basis for creating a Digital Twin. In this paper, a comprehensive model of a Digital Twin approach for a manufacturing environment and related production processes is proposed. The presented model is based on combining a 5-Dimensional definition for the Digital Twin and cloud-based CPS (C2PS) architecture. The model consists of five layers to replicate the physical object as a virtual object and to collect and convert data. Analysis of the virtual model for prediction of future development, decision-making, re-configuration, what-if analysis, and understanding of the effect of changes in the real time process is performed in the fourth layer. The user interface layer is the connection between the virtual and physical model. Use of a Digital Twin in manufacturing enables improvement in the effectiveness of Lean Manufacturing, leading to savings in resources such as cost and time. Uncertainties inherent in manufacturing processes mean that the Digital Twin approach is a more suitable method for optimization of the overall process and the sub-processes than pure simulation. An accurate Digital Twin model can improve safety, save costs, speed up manufacturing of new products and implementation of new processes, and provide global optimization results. In practice, however, provision of data is a challenge to use of the Digital Twin approach because modern manufacturing uses a variety of data in different formats with different owners. Access to all required data and information and obtaining permission for its use in creation of a Digital Twin is a topic for future research. © 2019 The Authors. Published by Elsevier B.V. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/)",2019,C2PC Architecture Cyber-Physical System Data Ownership Digital Twin Smart Manufacturing,academic,"School of Energy Systems, Lappeenranta University of Technology, Lappeenranta, 53850, Finland",100,0.2
Using open-source microcontrollers to enable digital twin communication for smart manufacturing,"One of the key enabling technologies for the smart factory is the Digital Twin, which can be described as a digital model of a physical entity. In smart manufacturing, a digital twin, also referred to as a cyber-physical production system, comprises three integrated components: the product, the process and the machine. In this paper, the design, fabrication and development of a proof of principal manufacturing digital twin demonstrator is discussed. The manufacturing process is a V-bending operation of a thin metallic plate. All three components of a manufacturing digital twin are represented: the metallic plate product, the bending process and the bending machine. Low-cost, IoT-enabled, open-source microcontrollers are used to communicate between the physical and the digital twins. The microcontroller is used to control machine operations, while also extracting sensor data from the system. It is demonstrated that the digital twin enables real-time stress prediction in the product during the bending process, while also tracking and recording machine performance. An information dashboard has also been developed which presents key performance indicators to the end user. © 2019 The Authors. Published by Elsevier B.V. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/)",2019,Cyber-Physical Production Systems Digital Twin IoT Smart Manufacturing,academic,"Confirm Smart Manufacturing Research Centre, University of Limerick, Ireland; Bernal Institute, University of Limerick, Ireland; School of Engineering, University of Limerick, Ireland",100,0.25
Construction of intelligent integrated model framework for the workshop manufacturing system via digital twin,"With the boosting development of the advanced manufacturing industry in the world, the original production pattern transformed from the traditional industries into the intelligence mode is completed with the least delay possible, which are still facing new challenges. The timeliness, stability, and reliability of them are significantly restricted due to the lack of real-time communication. Therefore, a model framework of intelligent workshop manufacturing system based on a digital twin is proposed in this paper, driving the deep information integration among the physical entity, data collection, and information decision-making. The traditional digital twin of conceptualization and fuzziness needs to be refined, optimized, and upgraded on the basis of the four-dimension collaborative model thinking. The model framework of a refined nine-layer intelligent digital twin is established. Firstly, the physical evaluation is refined into entity layer, auxiliary layer, and interface layer, scientific managing the physical resources and the instrument, and coordinating the overall system. Secondly, dividing the data evaluation into the data layer and the processing layer can greatly improve the flexible response-ability and ensure the synchronization of the real-time data. Finally, the system evaluation is subdivided into information layer, algorithm layer, scheduling layer, and functional layer, developing flexible manufacturing plan more reasonably, shortening the production cycle, and reducing logistics cost. Simultaneously, combining SLP and artificial bee colonies is applied to investigate the production system optimization of the textile workshop. The results indicate that the production efficiency of the optimized production system is increased by 34.46%. © 2021, The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature.",2022,Manufacture Scheduling algorithms Textile industry Textiles Advanced manufacturing Integrated modeling framework Intelligent Manufacturing Intelligent manufacturing workshop Manufacturing industries Modelling framework Production system Production system optimization System optimizations Textile production Decision makingDigital twin Intelligent manufacturing workshop Production system optimization Textile production,academic,"College of Mechanical Engineering, Shandong University, Jinan, 250014, China; Key Laboratory of High Efficiency and Clean Mechanical Manufacture, Ministry of Education, Shandong University, Shandong, Jinan, 250014, China",103,0.375
Improved multi-fidelity simulation-based optimisation: application in a digital twin shop floor,"In recent years, the literature has paid considerable attention to digital twin technology for the implementation of Industry 4.0 and intelligent manufacturing. Most of the literature argues that simulation models are a key platform for digital twins and considers discrete-event simulation to be a suitable method to model real dynamic manufacturing systems. However, the discrete-event simulation of complex manufacturing systems is a time-consuming process. Therefore, it is difficult to deal with the large-scale discrete optimisation problems in digital twin shop floors. To bridge this research gap, we propose an improved multi-fidelity simulation-based optimisation method based on multi-fidelity optimisation with ordinal transformation and optimal sampling (MO2TOS) in the current research. The proposed method embeds heuristic algorithms to accelerate the solution space search efficiency in MO2TOS. Moreover, we develop an improved multi-fidelity simulation-based optimisation system by integrating the proposed method with discrete-event simulation tools and apply this system to a digital twin-based aircraft parts production workshop. Based on this digital twin shop floor, we conduct different production planning experiments to evaluate the performance of the proposed method. The experimental results demonstrate that the proposed improved multi-fidelity simulation-based optimisation method is well-applied in solving large-scale problems and outperforms other simulation-based optimisation methods. © 2020 Informa UK Limited, trading as Taylor & Francis Group.",2022,Discrete event simulation Floors Heuristic algorithms Heuristic methods Manufacture Optimization Production control Complex manufacturing systems Discrete optimisation Intelligent Manufacturing Large-scale problem Multi-fidelity simulation Production Planning Production workshops Simulation based optimisation Digital twindigital twin shop floor heuristic algorithms large-scale problem optimisation Multi-fidelity simulation-based optimisation simulation,academic,"School of Mechanical Science and Engineering, Huazhong University of Science and Technology, Wuhan, China; EMLYON Business School, Ecully, France",133,0.36363636363636365
Digital twin mapping modeling and method of monitoring and simulation for reconfigurable manufacturing system; [面向可重构制造的数字孪生映射建模与监控仿真],"Digital twin and manufacturing simulation integrated platform (DTMSIP) architecture for reconfigurable manufacturing system (RMS) was proposed, aiming at the application problem of digital twin on RMS. DTMSIP was highly adapted to RMS's dynamic reconfiguration and can be used for simulation analysis in RMS configuration design. Digital twin mapping for RMS was modeled. By defining twinning entity (TE), heterogeneous multi-source data integration in RMS shop-floor was realized and digital twin mapping for machine tools and configuration was established. The application procedure of digital twin-based RMS reconfiguration was proposed. DTMSIP served the purpose of assisting RMS reconfiguration through iteration of cyber physical fusion and iteration of configuration simulation. In order to validate the proposed method, Unreal Engine 4 (UE4) was adopted to implement DTMSIP software for a modular RMS. Current configuration and four planned configurations were input to DTMSIP software for simulation. Quantitative and comprehensive analysis was performed on the configurations taking into consideration cost of reconfiguration, cycle time and line balance, contributing to accelerate RMS reconfiguration design processes. Copyright ©2022 Journal of Zhejiang University (Engineering Science). All rights reserved.",2022,Computer aided manufacturing Computer software Data integration Dynamic models Machine tools Mapping Reconfigurable architectures Simulation platform Application problems Dynamic re-configuration Integrated platform Manufacturing simulation Mapping method Mapping modeling Platform architecture Realtime simulation (RTS) Reconfigurable manufacturing system System reconfiguration Iterative methodsDigital twin Mapping modeling Real-time simulation Reconfigurable manufacturing system System reconfiguration,academic,"State Key Laboratory of Mechanical System and Vibration, School of Mechanical Engineering, Shanghai Jiao Tong University, Shanghai, 200240, China; Fraunhofer Project Center for Smart Manufacturing at Shanghai Jiao Tong University, Shanghai, 201306, China",143,0.26
Towards Data-Driven Digital Twins for Smart Manufacturing,"The adoption of a digital twin for a smart factory offers several advantages, such as improved production and reduced costs, and energy consumption. Due to the growing demands of the market, factories have adopted the reconfigurable manufacturing paradigm, wherein the structure of the factory is constantly changing. This situation presents a unique challenge to traditional modeling and simulation approaches. To deal with this scenario, we propose a generic data-driven framework for automated construction of digital twins for smart factories. The novel aspects of our proposed framework include a pure data-driven approach incorporating machine learning and process mining techniques, and continuous model improvement and validation. © 2021, Springer Nature Switzerland AG.",2021,Data-driven Digital twin Machine learning Process mining Reconfigurable manufacturing Simulation Smart factory,academic,"DTU Compute, Technical University of Denmark, Anker Engelunds Vej 1, Kgs. Lyngby, 2800, Denmark; Mærsk Mc-Kinney Møller Institute, University of Southern Denmark, Campusvej 55, Odense, 5230, Denmark; Department of Computer Science, Information Systems and Engineering, California University of Pennsylvania, California, 15419, PA, United States",143,0.3333333333333333
Digital twin-driven rapid reconfiguration of the automated manufacturing system via an open architecture model,"Increasing individualization demands in products call for high flexibility in the manufacturing systems to adapt changes. This paper proposes a novel digital twin-driven approach for rapid reconfiguration of automated manufacturing systems. The digital twin comprises two parts, the semi-physical simulation that maps data of the system and provides input data to the second part, which is optimization. The results of the optimization part are fed back to the semi-physical simulation for verification. Open-architecture machine tool (OAMT) is defined and developed as a new class of machine tools comprising a fixed standard platform and various individualized modules that can be added and rapidly swapped. Engineers can flexibly reconfigure the manufacturing system for catering to process planning by integrating personalized modules into its OAMTs. Key enabling techniques, including how to twin cyber and physical system and how to quickly bi-level program the production capacity and functionality of manufacturing systems to adapt rapid changes of products, are detailed. A physical implementation is conducted to verify the effectiveness of the proposed approach to achieving improved system performance while minimizing the overheads of the reconfiguration process by automating and rapidly optimizing it. © 2019 Elsevier Ltd",2020,Architecture Computer aided manufacturing Cyber Physical System Embedded systems Fixed platforms Machine tools Reconfigurable architectures Automated manufacturing systems Digital twin Enabling techniques Open architecture Reconfigurable manufacturing system Reconfiguration process Semi-physical simulations Smart manufacturing ManufactureCyber-physical system Digital twin Industrial internet of things Open architecture Reconfigurable manufacturing system Smart manufacturing,academic,"Guangdong Provincial Key Laboratory of Computer Integrated Manufacturing System, State Key Laboratory of Precision Electronic Manufacturing Technology and Equipment, Guangdong University of Technology, Guangzhou, 510006, Guangdong, China; Department of Information Systems, City University of Hong Kong, 999077, Hong Kong, China; School of Mechanical Engineering, Xi'an University of Science and Technology, Xian, 710054, China; School of Mechanical Engineering, Jiangnan University, Wuxi, 214122, China",143,0.25
Concept and Architecture for Information Exchange between Digital Twins of the Product (CPS) and the Production System (CPPS),The Digital Twin concept and CPS- and IIoT-based approaches are increasingly important topics concerning future Industry 4.0 architectures. They offer high potential for dynamical aspects in intelligent production planning and control as well as part traceability and documentation. Standardized information exchange is an upcoming requirement among the whole supply chain. This paper presents a concept for a Digital Twin architecture based on motor production in the automotive industry. The key aspect is an information exchange structure for Digital Twins of products and production systems that are combined using principles of Dynamic Aggregation. © 2021 The Author(s).,2021,Automotive industry Embedded systems Information dissemination Production control Supply chains Cybe-physical systems Cyber-physical systems High potential Information exchanges Information Modeling Intelligent production system Production planning and control Production system Smart production Cyber Physical SystemCyber Physical System Digital Twin Information Exchange Information Model Intelligent Production Systems Production System Smart Production,academic,"Technical University of Berlin, Department Industrial Information Technology, Pascalstraße 8-9, Berlin, 10587, Germany; Audi AG, Auto-Union-Str. 1, Ingolstadt, 85045, Germany; Technische Hochschule Ingolstadt, Esplanade 10, Ingolstadt, 85049, Germany; Fraunhofer Institute for Production Systems and Design Technology IPK, Pascalstraße 8-9, Berlin, 10587, Germany",145,0.20408163265306123
A digital twin-driven production management system for production workshop,"With the rapid development of smart manufacturing, some challenges are emerging in the production management, including the utilization of information technology and the elimination of dynamic disturbance. A digital twin-driven production management system (DTPMS) can dynamically simulate and optimize production processes in manufacturing and achieve real-time synchronization, high fidelity, and real-virtual fusion in cyber-physical production. This paper focuses on establishing DTPMS for production life-cycle management. First, we illustrate how to integrate digital twin technology and simulation platforms. Second, a framework of DTPMS is proposed to support a cyber-physical system of production workshop, including product design, product manufacturing, and intelligent service management. Finally, the proposed DTPMS is applied to the production process of a heavy-duty vehicle gearbox. The experimental results indicate that the defective rate of products and the in-process inventory are reduced by 34% and 89%, respectively, while the one-time pass rate of product inspection is increased by 14.2%, which demonstrates the feasibility and effectiveness of the DTPMS. © 2020, Springer-Verlag London Ltd., part of Springer Nature.",2020,Cyber Physical System Digital twin Embedded systems Industrial management Manufacture Product design Dynamic disturbances In-process inventories Intelligent Services Product manufacturing Production management Production management systems Production workshops Smart manufacturing Life cycleDigital twin Heavy-duty vehicle gearbox Production management Smart workshop,academic,"Key Laboratory of Contemporary Design and Integrated Manufacturing Technology, Ministry of Education, Northwestern Polytechnical University, Xi’an, 710072, China; Chongqing Tiema Industries Group Co. Ltd, Chongqing, 400050, People’s.Republic of Chongqing, China; Institute of Computer Science, the University of Hong Kong, Hong Kong, 999077, China; Guangzhou CreateView Education Technology Co. Ltd, Guangzhou, 510000, China; School of Intelligent Systems Science and Engineering, Jinan University, Zhuhai, 519070, China; Institute of Physical Internet, Jinan University, Zhuhai, 519070, China; School of Engineering, the University of Hong Kong, Hong Kong, 999077, China",145,0.23076923076923078
"Connotation, architecture and trends of product digital twin","Digital twin technology is considered as the core and crucial technology to fulfill cyber-physical systems. Product digital twin is one of applications of digital twin technology in the process of product development. However, the research on it is still in its infancy and there are only few unsystematic research findings presented. The concept of digital twin technology based on review of digital twin background and the architecture for product digital twin based on systematic analysis of its connotation were proposed. The implementation approach of product digital twin in the stage of product design, manufacturing and service was investigated. The evolving trends of product digital twin concerning its features in the future were predicted. © 2017, Editorial Department of CIMS. All right reserved.",2017,Cyber Physical System Embedded systems Manufacture Product design Cyber and physical convergence Digital thread Digital twin Intelligent Manufacturing Model and simulation Product life cycle management Life cycleCyber and physical convergence Cyber-physical systems Digital thread Digital twin Digital twin technology Intelligent manufacturing Modeling and simulation Product lifecycle management,academic,"Laboratory of Digital Manufacturing, School of Mechanical Engineering, Beijing Institute of Technology, Beijing, 100081, China",145,0.2127659574468085
Digital twins for high-tech machining applications—a model-based analytics-ready approach,"This paper presents a brief introduction to competition-driven digital transformation in the machining sector. On this basis, the creation of a digital twin for machining processes is approached firstly using a basic digital twin structure. The latter is sub-grouped into information and data models, specific calculation and process models, all seen from an application-oriented perspective. Moreover, digital shadow and digital twin are embedded in this framework, being discussed in the context of a state-of-the-art literature review. The main part of this paper addresses models for machine and path inaccuracies, material removal and tool engagement, cutting force, process stability, thermal behavior, workpiece and surface properties. Furthermore, these models are superimposed towards an integral digital twin. In addition, the overall context is expanded towards an integral software architecture of a digital twin providing information system. The information system, in turn, ties in with existing forward-oriented planning from operational practice, leading to a significant expansion of the initially presented basic structure for a digital twin. Consequently, a time-stratified data layer platform is introduced to prepare for the resulting shadow-twin transformation loop. Finally, subtasks are defined to assure functional interfaces, model integrability and feedback measures. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",2021,Cyber-physical production Digital manufacturing system Digital shadow Digital twin Digital twin integration Information model Machining processes,academic,"Fraunhofer Institute for Machine Tools and Forming Technology IWU, Nöthnitzer Straße 44, Dresden, 01187, Germany; Chair of Machine Tools Development and Adaptive Controls, Institute of Mechatronic Engineering, Technische Universität Dresden, Helmholtzstr 7a, Dresden, 01069, Germany",150,0.25
