Name,Type,Material Type,Link,Keyword,Country,Year,Abstract,Responsible,Status,Created by,Created time
"Digital twin satellite:concept, key technologies and applications [数字孪生卫星:概念,关键技术及应用]",Academic,Article,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083300430&doi=10.13196%2fj.cims.2020.03.001&partnerID=40&md5=c7a6f5694b88b4fa5fd54b3111b72708,"5G mobile communication systems, Development and applications, Development trends, Digital twin, Digital twin satellite, Engineering constructions, Experimental verification, Five-dimension digital twin model, Health management, Integration testing, Life cycle, Manufacture, Network operations, New generation information technology, Orbits, Project management, Satellite engineering, Satellite industry, Satellite network, Satellite projects, Satellites, Service industry",China,2020,"The development and application of New generation Information Technology (New IT) has brought new development trends and new demands for future satellite industry. How to employ and integrate the New IT into satellite engineering and industry to meet this trends and development is a key issue. Meanwhile, the needs for enhancing the capability of overall management and process control in large satellite projects and promoting the transformation and upgrading of satellite industry to be more digitalized, networked, intelligent and service-oriented are increasing. Therefore, digital twin, a new technology which can be integrated and fused with most New IT (including cloud computing, Internet of things, big data, artificial intelligence, 5G, etc.), was employed and introduced into satellite industry (including key stages, key scenarios and key entities), and a novel concept of Digital Twin Satellite (DTS) was proposed and studied. The composition of DTS was analyzed from the spatial dimension, including DTS experimental verification system, DTS assembly shop-floor, DTS product, and DTS network. Then the core elements of DTS were illustrated from the time dimension, including model thread, data thread, and service thread. The key technologies of DTS were put forward. The applications of DTS in different stages were discussed from the life cycle dimension, including satellite overall design, detailed design, production and manufacturing (including general assembly, integration and testing), on-orbit service and health management, network operation and maintenance management. It is expected this study can provide references for satellite industry development and satellite engineering construction in the future. © 2020, Editorial Department of CIMS. All right reserved.",,Not started,Alex,"October 25, 2022 6:46 PM"
Applications of process and digital twin models for production simulation and scheduling in the manufacturing of food ingredients and products,Academic,Article,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101412439&doi=10.1016%2fj.fbp.2021.01.016&partnerID=40&md5=b10433744b13bee31744774de8c4bdcb,"Accident prevention, Chemical contamination, Digital technologies, Digital twin, Digital twins, Food process industries, Food processing, Food processing industry, Manufacture, Potential benefits, Process industries, Process simulation, Process simulations, Processed foods, Production control, Production modeling, Production scheduling, Production simulation, Scheduling, Throughput analysis","Greece, United States",2021,"Food Processing Industries are bound to increasingly adopt digital technologies in order to ensure product safety and quality, minimize costs in the face of low profit margins, shorten lead times and guarantee timely delivery of an increasing number of products despite production dead times and uncertainties. The concept of a digital twin put forward in the context of Industry 4.0 encompasses a digital model of the production model that mimics the physical system, interacts with it and can be used to design, monitor and optimize its performance. In this paper, the application of integrated process and digital twin models in food processing is discussed in the context of process simulation and production scheduling. The modeling challenges, opportunities and special characteristics that distinguish food from other process industries are also discussed. The potential benefits from implementing a digital modeling approach on a food process are presented with the help of a large-scale brewery case study. © 2021 Institution of Chemical Engineers",,Not started,Alex,"October 25, 2022 6:46 PM"
Improved multi-fidelity simulation-based optimisation: application in a digital twin shop floor,Academic,Article,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097015794&doi=10.1080%2f00207543.2020.1849846&partnerID=40&md5=e1b54ca55a9eb62265c6e8c05a47b7a8,"Complex manufacturing systems, Digital twin, Discrete event simulation, Discrete optimisation, Floors, Heuristic methods, Intelligent Manufacturing, Large-scale problem, Manufacture, Multi-fidelity simulation, Multi-fidelity simulation-based optimisation, Optimization, Production Planning, Production control, Production workshops, Simulation, Simulation based optimisation, digital twin shop floor, heuristic algorithms, large-scale problem optimisation","China, France",2022,"In recent years, the literature has paid considerable attention to digital twin technology for the implementation of Industry 4.0 and intelligent manufacturing. Most of the literature argues that simulation models are a key platform for digital twins and considers discrete-event simulation to be a suitable method to model real dynamic manufacturing systems. However, the discrete-event simulation of complex manufacturing systems is a time-consuming process. Therefore, it is difficult to deal with the large-scale discrete optimisation problems in digital twin shop floors. To bridge this research gap, we propose an improved multi-fidelity simulation-based optimisation method based on multi-fidelity optimisation with ordinal transformation and optimal sampling (MO2TOS) in the current research. The proposed method embeds heuristic algorithms to accelerate the solution space search efficiency in MO2TOS. Moreover, we develop an improved multi-fidelity simulation-based optimisation system by integrating the proposed method with discrete-event simulation tools and apply this system to a digital twin-based aircraft parts production workshop. Based on this digital twin shop floor, we conduct different production planning experiments to evaluate the performance of the proposed method. The experimental results demonstrate that the proposed improved multi-fidelity simulation-based optimisation method is well-applied in solving large-scale problems and outperforms other simulation-based optimisation methods. © 2020 Informa UK Limited, trading as Taylor & Francis Group.",,Not started,Alex,"October 25, 2022 6:46 PM"
Recent and prospective developments in power system control centers: Adapting the digital twin technology for application in power system control centers,Academic,Conference Paper,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050252398&doi=10.1109%2fENERGYCON.2018.8398846&partnerID=40&md5=5e86d4a1188f3ef6584bd8f7c2fdf61b,"Control Center, DMS, Digital twin, EMS, Electric power system control, Electric power system measurement, New technologies, Observability, Phasor measurement units, Possible futures, Power control, Power system controls, SCADA, Situation awareness, Synchronized phasor measurement unit, WAMS",Germany,2018,"The development of power system control centers has always been linked to the evolving of new technologies and innovative concepts. Switching to IP/TCP-based communication was one mayor evolutionary step in the past. Now, new precise time-synchronized phasor measurement units (PMU) based monitoring tools are on the rise and enable dynamic system observation. Future control centers for power systems can profit from this development, enlarging the observability and rising operator situation awareness. The next evolutionary step in control center technology may be the utilization of the Digital Twin concept. Its abilities to depict the actual and possible future system state, makes it an inevitable solution for further improvement of power system monitoring and control systems. This paper discusses recent developments of control center technology and introduces a new concept of a Digital Twin centric control center architecture which is based on a dynamic simulation engine called dynamic digital mirror. © 2018 IEEE.",,Not started,Alex,"October 25, 2022 6:46 PM"
Automated Model Transformation in modeling Digital Twins of Industrial Internet-of-Things Applications utilizing AutomationML,Academic,Conference Paper,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122922012&doi=10.1109%2fETFA45728.2021.9613172&partnerID=40&md5=95aa613fad640754635409109df0a528,"Architecture modeling, Automated model transformations, AutomationML, Industrial internet of thing, Industrial internet of things (IIoT), Internet of things, Manufacture, Model driven architectures, Model-based Systems Engineering (MBSE), Model-based system engineering, Model-based system engineerings, Model-driven Architecture (MDA), Model-driven architecture, Network architecture, Reference Architecture Model Industrie 4.0 (RAMI 4.0), Reference architecture, Reference architecture model industrie 4.0, Software architecture, Software design, Systems engineering","Austria, Germany",2021,"In recent years, the manufacturing industry sector has undergone major changes. Better known by the term Industry 4.0, this trend describes the transformation of centrally managed production systems towards decentralized value creation networks. As this leads to a strong increase regarding complexity, engineering such current or future manufacturing systems becomes a difficult task. An example for such a challenging engineering process is the selection of technical implementations fulfilling all requirements and performing the needed functions. In order to support this process, model-based systems engineering (MBSE) and its expressions like model-driven architecture (MDA) proved to be promising approaches. However, semi or fully automated model transformations, which could deal with the aforementioned issue, are still yet widely unexplored in the industrial area. Therefore, this paper introduces an approach transforming the logical architecture of a system into its technical implementation by utilizing AutomationML. As the goal is to perform this step automatically, additional tool support is provided by developing specific software. The results of this approach are thereby evaluated by a real-world case study, which is applied according to the concepts of the Reference Architecture Model Industrie 4.0 (RAMI 4.0). © 2021 IEEE.",,Not started,Alex,"October 25, 2022 6:46 PM"
Optimal RUL estimation: A state-of-art digital twin application,Academic,Conference Paper,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090435192&doi=10.1109%2fRAMS48030.2020.9153669&partnerID=40&md5=74201c78a3f0103756244de4171e65d1,"Artificial intelligence tools, Arts computing, Autoencoder, Data driven technique, Data handling, Deep Learning, Digital twin, IIoT, Industrial internet of things (IIoT), Input output programs, Life cycle, Long short-term memory, Long-short Term Memory, Maintainability, Multilayer neural networks, Multilayered neural networks, Probabilistic simulation, Prognostics, RUL Estimation, Recurrent neural network (RNN), Remaining useful lives, Sensor data collections, Simultaneous monitoring, Time series",Canada,2020,"A real world Industrial IoT set up has paved way for simultaneous monitoring of several sensors at their unique sampling rates. This has realized the need for artificial intelligence tools for robust data processing. However, the large size of input data requires real time monitoring and synchronization for online analysis. As the star concept behind the Industry 4.0 wave, a digital twin is a virtual, multi-scale and probabilistic simulation to mirror the performance of its physical counterpart and serve the product lifecycle in a virtual space. Evidently, a digital twin can proactively identify potential issues with its corresponding real twin. Thus, it is best suited for enabling a physics-based and data-driven model fusion to estimate the remaining useful life (RUL) of the components. Traditional RUL prediction approaches have assumed either an exponential or linear degradation trend with a fixed curve shape to build a Health Index (HI) model. Such an assumption may not be useful for multi-sensor systems or cases where sensor data is available intermittently. A common constraint in the industry is irregular sensor data collection. The resulting asynchronous time series of the sporadic data needs to be an accurate representation of the component's HI when constructing a degradation model. In this paper, we extend the Long-Short Term Memory (LSTM) Recurrent Neural Network (RNN) technique to generate RUL prediction within a digital twin framework as a means of synchronization with changing operational states. More specifically, we first use LSTM encoder-decoder (LSTM-ED) to train a multilayered neural network and reconstruct the sensor data time series corresponding to a healthy state. The resulting reconstruction error can be used to capture patterns in input data time series and estimate HI of training and testing sets. Using a time lag to record similarity between the HI curves, a weighted average of the final RUL estimation is obtained. The described empirical approach is evaluated on publicly available engine degradation dataset with run-to-failure information. Results indicate a high RUL estimation accuracy with greater error reduction rate. This demonstrates wide applicability of the discussed methodology to various industries where event data is scarce for the application of only data-driven techniques. © 2020 IEEE.",,Not started,Alex,"October 25, 2022 6:46 PM"
"A survey on digital twin: Definitions, characteristics, applications, and design implications",Academic,Review,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076680404&doi=10.1109%2fACCESS.2019.2953499&partnerID=40&md5=930a81d00011f5ccc07cfbfb37cf0f68,"Artificial intelligence, Artificial intelligent, Clustering algorithms, Data processing techniques, Design, Design implications, Digital twin, High dimensional data, Human computer interaction, Human-computer interaction, Internet of things, Issues and challenges, Learning systems, Life cycle, Machine learning, Sensor systems, Socio-technical designs, Ubiquitous computing",Italy,2019,"When, in 1956, Artificial Intelligence (AI) was officially declared a research field, no one would have ever predicted the huge influence and impact its description, prediction, and prescription capabilities were going to have on our daily lives. In parallel to continuous advances in AI, the past decade has seen the spread of broadband and ubiquitous connectivity, (embedded) sensors collecting descriptive high dimensional data, and improvements in big data processing techniques and cloud computing. The joint usage of such technologies has led to the creation of digital twins, artificial intelligent virtual replicas of physical systems. Digital Twin (DT) technology is nowadays being developed and commercialized to optimize several manufacturing and aviation processes, while in the healthcare and medicine fields this technology is still at its early development stage. This paper presents the results of a study focused on the analysis of the state-of-the-art definitions of DT, the investigation of the main characteristics that a DT should possess, and the exploration of the domains in which DT applications are currently being developed. The design implications derived from the study are then presented: they focus on socio-technical design aspects and DT lifecycle. Open issues and challenges that require to be addressed in the future are finally discussed. © 2019 Oxford University Press. All rights reserved.",,Not started,Alex,"October 25, 2022 6:46 PM"
Application research of digital twin-driven ship intelligent manufacturing system: Pipe machining production line,Academic,Article,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103493822&doi=10.3390%2fjmse9030338&partnerID=40&md5=12381c199da6cb3d2ac540fea2fcbf99,"Digital twin, Intelligent Manufacturing, Pipe machining, Ship",China,2021,"Digital twin has aroused extensive attention of international academia and industry to support future interaction with the physical and virtual world. Although the research and application of digital twin spring up continuously, the concept in the manufacturing domain remains in its infancy. In this context, this paper first reviews the applications of digital twins for intelligent manufacturing. Then it presents an innovative application framework of a digital twin-driven ship intelligent manufacturing system and analyzes its operation mechanism. The application framework of a digital twin-driven ship intelligent manufacturing system mainly includes five parts: the physical layer, model layer, data layer, system layer, and application layer. Finally, key enabling techniques, as well as a case study in a pipe machining production line, are constructed and studied to validate the proposed approach. Meanwhile, system design and implementation, the twin modeling construction, application process, and implementation effect of the pipe machining production line are described in detail to provide a reference for enterprises. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",,Not started,Alex,"October 25, 2022 6:46 PM"
User-friendly method of digital twin application based on cloud platform for smart manufacturing,Academic,Article,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102169058&doi=10.3795%2fKSME-A.2021.45.2.175&partnerID=40&md5=a3bf8d48518330148062811cd111e58d,"Analysis techniques, Artificial intelligence, Augmented Reality, Cyber-physical system, Decision making, Digital factories, Digital twin, Direct experience, Flow control, Global manufacturing enterprise, Industry 4.0, Manufacture, Manufacturing companies, Novices and experts, Smart Factory, Smart manufacturing, User experience, User-friendly methods",South Korea,2021,"With the advent of the smart manufacturing era, advanced countries and global manufacturing enterprises are actively building smart factories. Digital twin (DT) is the future key technology that enables the building of advanced smart factories. DT-based smart factories are built by following procedures that consist of (1) modeling a digital factory that is identical to the physical factory, (2) connecting the physical factory and digital factory, (3) predicting using analysis techniques, such as simulation and artificial intelligence, and (4) controlling the physical factory through quick decision-making based on direct experience using virtual or augmented reality. DT is a technique in which experts are heavily relied upon, and it takes much time and costs to develop DT. In this paper, we introduce a cloud-based DT platform that enables novices and experts to build DT quickly and easily. Cases applicable to various manufacturing companies were described, and the effects were analyzed. © 2021 The Korean Society of Mechanical Engineers.",,Not started,Alex,"October 25, 2022 6:46 PM"
Research on application of digital twin based on intelligent production line of five-axis machining center [基于五轴加工中心智能生产线的数字孪生应用研究],Academic,Article,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128310319&doi=10.3785%2fj.issn.1006-754X.2021.00.057&partnerID=40&md5=54701a48e9014b260c17c35ae1f57c20,"Digital twin, Intelligent production line, Real-time monitoring, Virtual debugging, Virtual simulation",China,2021,"Intelligent manufacturing is one of the key development directions vigorously advocated by the country in recent years. With the continuous establishment, development and improvement of intelligent manufacturing pilots, the digital twin technology has been gradually applied. Based on this, taking the intelligent production line of five-axis machining center as an example, the application of the digital twin technology was summarized. Based on the digital twin technology, the digital model of the physical equipment on the intelligent production line of five-axis machining center was constructed at a ratio of 1∶1 and the corresponding physical attributes were configured, so that the digital model had the same action state as the physical equipment. Then, the signal points of the digital model were set up and connected with the external control signals to realize the virtual debugging of the intelligent production line of five-axis machining center before completion, and then the optimal construction scheme was obtained through the continuous iteration. The practice results showed that the virtual simulation of the combination, debugging and production of the intelligent production line could be realized by the digital twin, based on the virtual simulation function of the digital twin, the visual display of physical attribute parameters and design accuracy of products could be realized, so that the product could pass the adaptability verification in the design stage and realize rapid update, after the completion of the intelligent production line, the digital twin could be used to realize the management of equipment on the production line and the real-time monitoring of its working state, so as to better obtain the operation state of each equipment. In conclusion, the digital twin technology runs through the whole life cycle of intelligent production line, which can be popularized and applied in the field of intelligent manufacturing. © 2021, Chinese Journal of Engineering Design. All Rights Reserved.",,Not started,Alex,"October 25, 2022 6:46 PM"
Industrial applications of digital twins,Academic,Review,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113295605&doi=10.1098%2frsta.2020.0360&partnerID=40&md5=a3f59fb1250cd7a2610c0a40cd81e867,"Autonomous systems, Cyberspaces, Digital transformation, Digital twin, Industry 4.0, Life cycle, Plant-wide optimization, Real-world, Smart manufacturing, State of the art, Whole life cycles, adult, article, city, industrial application","China, Norway, Turkey",2021,"A digital twin (DT) is classically defined as the virtual replica of a real-world product, system, being, communities, even cities that are continuously updated with data from its physical counterpart, as well as its environment. It bridges the virtual cyberspace with the physical entities and, as such, is considered to be the pillar of Industry 4.0 and the innovation backbone of the future. A DT is created and used throughout the whole life cycle of the entity it replicates, from cradle to grave, so to speak. This article focuses on the present state of the art of DTs, concentrating on the use of DTs in industry in the context of smart manufacturing, especially from the point of view of plantwide optimization. The main capabilities of DTs (mirroring, shadowing and threading) are discussed in this context. The article concludes with a perspective on the future. This article is part of the theme issue 'Towards symbiotic autonomous systems'. © 2021 The Author(s).",,Not started,Alex,"October 25, 2022 6:46 PM"
Applications and expectation of digital twin in product lifecycle [数字孪生技术在产品生命周期中的应用与展望],Academic,Review,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072218205&doi=10.13196%2fj.cims.2019.06.022&partnerID=40&md5=0132eaee33ddad8bb9a07c8cb740de83,"Application method, Application modes, Data based manufacturing, Development trends, Digital twin, Life cycle, Manufacture, Object oriented, Process-oriented, Product life cycle management, Product lifecycle management, Product-life-cycle, Virtual-real fusion",China,2019,"The emergence of digital twin provides new ideas and approaches for the application of the Product Lifecycle Management (PLM) concept. To explore the application mode of digital twin in each stage of product lifecycle, the meaning of ""object-oriented"" and ""process-oriented"" aspects of digital twin was interpreted and the conception of PLM based on digital twin was given. On this basis, the application method of digital twin in typical scenarios of product development, manufacturing, maintenance and scrapping were expounded, and the lifecycle of digital twin was summarized. Data based manufacturing was indicated, which was a probable future manufacturing mode and a development trend of digital twin. © 2019, Editorial Department of CIMS. All right reserved.",,Not started,Alex,"October 25, 2022 6:46 PM"
"Big data driven Hierarchical Digital Twin Predictive Remanufacturing paradigm: Architecture, control mechanism, application scenario and benefits",Academic,Article,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075891359&doi=10.1016%2fj.jclepro.2019.119299&partnerID=40&md5=53ffef926d59c1a8d9c10da22d14925e,"Big data, CPS-Digital-twin(CPSDT), Enabling technologies, IoT-cloud, Life cycle, Reconfiguration, Reconfiguration control, Remanufacturing process, Sustainable development, Sustainable production, Sustainable products, multi-life-cycle remanufacturing",China,2020,"Remanufacturing is deemed to be an effective method for recycling resources, achieving sustainable production. However, little importance of remanufacturing has been attached in PLM. Surely, there are many problems in implementation of the remanufacturing strategy, such as inability to effectively reduce uncertainty, lack of product multi-life-cycle remanufacturing process tracking management, lack of smart enabling technology application in the full lifecycle that focusing on multi-life-cycle remanufacturing. After analyzing the reasons, through integrating smart enabling technologies, a new PLM paradigm focusing on the multi-life-cycle remanufacturing process: Big Data driven Hierarchical Digital Twin Predictive Remanufacturing (BDHDTPREMfg) is proposed. And the definition of BDHDTPREMfg is proposed. A big data driven layered architecture and the hierarchical CPS-Digital-Twin(CPSDT) reconfiguration control mechanism of BDHDTPREMfg are respectively developed. Then, this paper presents an application scenario of BDHDTPREMfg to validate the feasibility and effectiveness. Based on the above application analysis, the benefits of penetrating BDHDTPREMfg into the entire lifecycle are demonstrated. The summary of this paper and future research work is discussed in the end. © 2019 Elsevier Ltd",,Not started,Alex,"October 25, 2022 6:46 PM"
"Digital twin, Internet of things and technologies 4.0: Can you predict the future... and validate it? - What applications and perspectives for the ISO/IEC 17029:2019 standard in the field of predictive maintenance [Digital twin, Internet of things e tecnologie 4.0: predire il futuro si può… e validarlo?]",Academic,Editorial,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129027271&partnerID=40&md5=9b6a8b416a6ef08dea1fcd50d00d4716,,Italy,2021,[No abstract available],,Not started,Alex,"October 25, 2022 6:46 PM"
Hybrid Analytical and Data-Driven Modeling Techniques for Digital Twin Applications,Academic,Conference Paper,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113995793&doi=10.1109%2fESTS49166.2021.9512364&partnerID=40&md5=a42a7c67ecf1475752106c345dcec3a9,"Analytical models, Data driven, Data-driven model, Digital twin, Electric ship equipment, Empirical model, Hybrid approach, Model solution, Modeling, Modeling technique, Ships, power electronics",United States,2021,"This paper summarizes, compares, and contrasts various modeling techniques which can be used in the notional digital twins which are under development for naval shipboard power and energy systems. The models can range from fully predetermined analytical models to fully data-driven empirical models, along with many hybrid approaches which fall between the two extremes. Hybrid approaches are of particular interest for digital twin applications as they can share benefits of both rigid analytical models and empirical models. One hybrid approach is proposed and discussed in detail as a particularly effective modeling solution. Drawbacks of the proposed approach are presented, along with further improvements which can mitigate those shortcomings. © 2021 IEEE.",,Not started,Alex,"October 25, 2022 6:46 PM"
Pattern-based digital twin for optimizing manufacturing systems: A real industrial-case application,Academic,Conference Paper,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120717841&doi=10.1016%2fj.ifacol.2021.08.157&partnerID=40&md5=6782f32250c08650e6cdf1bd64f33170,"Applications domains, CPS, Case-studies, Cyber physicals, Data driven, Data-driven, Digital modeling, Digital twin, Highly accurate, Manufacture, Modeling pattern, Modelling patterns, Predictive manufacturing, Real case","France, Italy",2021,"The digital twin has received strong interests from researchers and industries since it allows predictive manufacturing by integrating the cyber and the physical space. An important prerequisite for the cyber-physical integration is a proper and highly-accurate digital model. Considering the complexity of digital modelling, the paper aims at developing and using predefined modelling patterns to enable building digital models independently of the specific application domain. The idea is explored and validated on a real case study by designing a set of patterns to create a digital twin model prototype adopted to control and optimize the manufacturing system taken into account. © 2021 The Authors. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0)",,Not started,Alex,"October 25, 2022 6:46 PM"
VREDI: virtual representation for a digital twin application in a work-center-level asset administration shell,Academic,Article,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084971195&doi=10.1007%2fs10845-020-01586-x&partnerID=40&md5=c56944ffc75c517feb3e3413cafe2afc,"Asset description, Atomic absorption spectrometry, Digital twin, Digital-twin-based technical functionality, Information management, Information object, Operation procedure, Reference relationships, Service-oriented architecture, Smart manufacturing, Technical functionalities, Technical requirement, Vertical integration, Virtual representation, Virtual representations, Work-center-level asset administration shell",South Korea,2021,"The asset administration shell (AAS) has a virtual representation as an asset description and technical functionality as a smart manufacturing service. A digital twin (DT) is an advanced virtual factory technology that has simulation as its core technical functionality, which it performs in the type and instance stages of the physical asset. For providing an efficient information object to the DT application, this paper proposes Virtual REpresentation for a DIgital twin application (VREDI): an asset description for the operation procedures of a work-center-level DT application. For the successful application of DT as a smart factory technology, VREDI is designed to meet four core technical requirements—DT definition, AAS property inheritance, improving the existing asset description, and supporting DT-based technical functionalities. Based on the analysis of the technical requirements, the elements of VREDI are derived and the reference relationships between them are designed. It is then possible to provide the required technical functionality using the VREDI header, and a detailed P4R structure and elements of the body are defined. VREDI is applied to the concept to support the main properties of the DT. It is designed to inherit the AAS properties for efficient information management and interoperability. The application of advanced concepts such as “type and instance” and supporting vertical integration and horizontal coordination overcomes the limitations of the existing asset descriptions. Additionally, VREDI designates elements for supporting six DT-based technical functionalities in the type and instance stages of the physical work center. © 2020, Springer Science+Business Media, LLC, part of Springer Nature.",,Not started,Alex,"October 25, 2022 6:46 PM"
Sustainable Manufacturing Digital Twins: A Review of Development and Application,Academic,Conference Paper,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115874210&doi=10.1007%2f978-981-16-6128-0_16&partnerID=40&md5=b7d1c6e5bbb41aa44c97defb82c01ccc,"Development and applications, Digital devices, Digital modeling, Digital simulation models, Digital technologies, Digital twins, Eco-efficiency, Environmental impact, Industrial research, Industry 4.0, Life cycle, Literature review, Literature reviews, Power, Resource productivity, Sustainable manufacturing, Sustainable manufacturing system, Sustainable manufacturing systems",United Kingdom,2022,"Sustainable manufacturing as a concept as well as the practices that are deployed are well established in the literature. Tools that guide the development of manufacturing to have less environmental impact are being deployed and documented. The power of digital technology to enable manufacturing systems to be more productive is well established and advances continue to be made. What is less well known is how digital technology can support the pursuit of sustainable manufacturing, especially using digital models, shadows and twins. Here a digital simulation model is configured to analyse, replicate and drive the real production respectively to improve resource productivity in the widest sense. This paper considers the literature and practice of such digital tools in manufacturing operations as well as across the lifecycle. Literature considered is mostly from 2018 onwards as this is the point at which digital twin empirical work emerges. Whilst the work on digital twins is advancing fast, the work on sustainable manufacturing is limited to energy and, to some extent, resource efficiency. Further when compared to documented practice, the academic field appears to be lagging depending on how the loose definition of digital twins in practice is interpreted. The paper concludes with potential avenues for further research on digital models, shadows and twins in the pursuit of sustainable manufacturing. © 2022, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.",,Not started,Alex,"October 25, 2022 6:46 PM"
Digital twin-driven supervised machine learning for the development of artificial intelligence applications in manufacturing,Academic,Article,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083554643&doi=10.1080%2f0951192X.2020.1747642&partnerID=40&md5=7a2f6be46cbae73bc955c1d245361c5d,"Automatic labelling, Cyber Physical System, Digital twin, Dynamic production, E-learning, Engineering education, Industry 4.0, Large dataset, Learning systems, Machine learning, Manufacture, Production process, Real-world information, Smart manufacturing, Supervised learning, Supervised machine learning, Synthetic datasets, Training data sets, synthetic Dataset, virtual Manufacturing",Greece,2020,"Digital Twin (DT) implementations can contribute to smart manufacturing by integrating the physical and the cyber space. Artificial Intelligence (AI) applications based on Machine Learning (ML) are widely accepted as promising technologies in manufacturing. However, ML methods require large volumes of quality training datasets and in the case of supervised ML, manual input is usually required for labelling those datasets. Such an approach is expensive, prone to errors and labour as well as time-intensive, especially in a highly complex and dynamic production environment. DT models can be utilized for accelerating the training phase in ML by creating suitable training datasets as well as by automatic labelling via the simulation tools chain and thus alleviating user’s involvement during training. These synthetic datasets can be enhanced and cross-validated with real-world information which is not required to be extensive. A framework for implementing the proposed DT-driven approach for developing ML models is presented. The proposed framework has been implemented in an industrially relevant use case. The use case has provided evidence that the proposed concept can be used for training vision-based recognition of parts’ orientation using simulation of DT models, which in turn can be used for adaptively controlling the production process. © 2020, © 2020 Informa UK Limited, trading as Taylor & Francis Group.",,Not started,Alex,"October 25, 2022 6:46 PM"
Application-optimized model adaptation of the digital twin of a modular production system during the operating phase [Anwendungsoptimierte Modelladaption des Digitalen Zwillings eines modularen Produktionssystems während der Betriebsphase],Academic,Article,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134159011&doi=10.51202%2f9783181023990-545&partnerID=40&md5=73c6fa44908945f91930b22ba0bb73fd,,Germany,2022,[No abstract available],,Not started,Alex,"October 25, 2022 6:46 PM"
Usage of digital twins for gamification applications in manufacturing,Academic,Conference Paper,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132244062&doi=10.1016%2fj.procir.2022.05.044&partnerID=40&md5=7f6ec9127e2423cc6d3525ce981918b6,"Digital twin, Employment, Game elements, Gamification, Human engineering, Industry 4.0, Life cycle, Manufacturing sector, Personalized learning, Semantics, Support System, Support systems, Training Systems, User's preferences, Work environments, Work task, Workers'","Australia, Germany",2022,"Gamification applications are on the rise in the manufacturing sector to customize working scenarios, offer user-specific feedback, and provide personalized learning offerings. Commonly, different sensors are integrated into work environments to track workers' actions. Game elements are selected according to the work task and users' preferences. However, implementing gamified workplaces remains challenging as different data sources must be established, evaluated, and connected. Developers often require information from several areas of the companies to offer meaningful gamification strategies for their employees. Moreover, work environments and the associated support systems are usually not flexible enough to adapt to personal needs. Digital twins are one primary possibility to create a uniform data approach that can provide semantic information to gamification applications. Frequently, several digital twins have to interact with each other to provide information about the workplace, the manufacturing process, and the knowledge of the employees. This research aims to create an overview of existing digital twin approaches for digital support systems and presents a concept to use digital twins for gamified support and training systems. The concept is based upon the Reference Architecture Industry 4.0 (RAMI 4.0) and includes information about the whole life cycle of the assets. It is applied to an existing gamified training system and evaluated in the Industry 4.0 model factory by an example of a handle mounting. © 2022 The Authors. Published by Elsevier B.V.",,Not started,Alex,"October 25, 2022 6:46 PM"
"A Survey on the Challenges Hindering the Application of Data Science, Digital Twins and Design Automation in Engineering Practice",Academic,Conference Paper,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131382979&doi=10.1017%2fpds.2022.172&partnerID=40&md5=7888060816a0e5005acaba03d5352f50,"Artificial intelligence, Automation, Computer aided design, Design automations, Digital designs, Digital engineering, Emerging trends, Engineering design, Engineering practices, Life cycle, Product design, Product life cycle management, Product lifecycle management, Surveys, Technology transfer, artificial intelligence (AI), computational design methods, design automation, digital design, product lifecycle management (PLM)",Austria,2022,"Digital Engineering is an emerging trend and aims to support engineering design by integrating computational technologies like design automation, data science, digital twins, and product lifecycle management. To enable alignment of industrial practice with state of the art, an industrial survey is conducted to capture the status and identify obstacles that hinder implementation in the industry. The results show companies struggle with missing know-how and available experts. Future work should elaborate on methods that facilitate the integration of Digital Engineering in design practice. © The Author(s), 2022.",,Not started,Alex,"October 25, 2022 6:46 PM"
